id,resultItemId,resultNum,srcItemId,srcItemNum,resultItemDes
STRING,STRING,STRING,STRING,STRING,STRING
1,161,1,5106,20,【称号“名门望族”】攻击+750、闪避+500、暴击+750
2,101,1,5106,1,【物品】使用获得1万银两
3,112,1,5106,1,【物品】使用获得1000资质
4,162,1,5107,30,【称号“闭月羞花”】攻击+1100、闪避+500、暴击+900、暴伤+100（10%）
5,103,1,5107,1,【物品】使用获得10万银两
6,113,1,5107,1,【物品】使用获得1万资质
7,163,1,5108,50,【称号“邪恶克星”】攻击+1500、闪避+500、暴击+1000、暴伤+200（20%）
8,105,1,5108,1,【物品】使用获得100万银两
9,114,1,5108,1,【物品】使用获得10万资质
10,5101,100,91,1,【用途】使用获得10点时装合成经验，可在时装合成界面中使用
11,92,1,5109,100,【时装“透明天罡”】装备时装可大幅提高角色属性，更可在时装合成界面中强化时装
12,115,1,5112,5,【物品】使用获得2万资质
13,107,1,5112,10,【物品】使用获得20万银两
14,5104,1,5112,50,【物品】使用获得1000魂值
15,11012,1,5112,250,【礼包】使用获得50~60个天命符
16,1410,1,5112,600,【宝石】闪避+1800，可将其镶入黄色槽中。
17,165,1,5112,999,【称号“魅力丶擂台高手”】攻击+1000、血量+25000、闪避+500、韧性+500
18,1013,1,5112,4888,【宝石】攻击+6000，可将其镶入红色槽中。
19,101,2,5112,1,【物品】使用获得1万银两
20,5113,1,5145,20,【物品】一张预测冠军属于巴西的奖券
21,5114,1,5145,20,【物品】一张预测冠军属于阿根廷的奖券
22,5115,1,5145,20,【物品】一张预测冠军属于德国的奖券
23,5116,1,5145,20,【物品】一张预测冠军属于西班牙的奖券
24,5117,1,5145,10,【物品】一张预测冠军属于比利时的奖券
25,5118,1,5145,10,【物品】一张预测冠军属于荷兰的奖券
26,5119,1,5145,10,【物品】一张预测冠军属于哥伦比亚的奖券
27,5120,1,5145,10,【物品】一张预测冠军属于意大利的奖券
28,5121,1,5145,5,【物品】一张预测冠军属于乌拉圭的奖券
29,5122,1,5145,5,【物品】一张预测冠军属于英格兰的奖券
30,5123,1,5145,5,【物品】一张预测冠军属于法国的奖券
31,5124,1,5145,5,【物品】一张预测冠军属于智利的奖券
32,5125,1,5145,4,【物品】一张预测冠军属于葡萄牙的奖券
33,5126,1,5145,4,【物品】一张预测冠军属于俄罗斯的奖券
34,5127,1,5145,4,【物品】一张预测冠军属于波黑的奖券
35,5128,1,5145,4,【物品】一张预测冠军属于克罗地亚的奖券
36,5101,50,92,1,【用途】使用获得10点时装合成经验，可在时装合成界面中使用
37,11507,1,5111,1,【用途】使用获得橙色技能碎片x1
38,11328,1,5150,7,【用途】使用随机获得1枚4~7级宝石
39,5149,10,33,1,【用途】用于灵器的精炼，点击灵器的精炼按钮使用
40,172,5,5152,1,【用途】使用获得1000声望
41,5148,1,5109,5,【用途】用于开启尘封的宝箱
